web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25
"1788937663-145","https://poe2db.tw/us/Keywords","Ice Crystals","","","","Ice Crystals are solid blocks of ice which can be damaged. When destroyed, Ice Crystals will deal Cold damage in an area. Ice Crystals will block the movement of smaller monsters, while larger monsters will destroy Ice Crystals in their path.



Skills which Consume Freeze will instantly shatter Ice Crystals, causing them to deal more damage in a larger area.","","","","","","","","","","","","","","","","","","","",""
"1788937663-146","https://poe2db.tw/us/Keywords","Ice Crystal Shattering","","","","Skills which Consume Freeze will instantly shatter Ice Crystals, causing them to deal more damage in a larger area.","","","","","","","","","","","","","","","","","","","",""
"1788937663-147","https://poe2db.tw/us/Keywords","Returning","","","","Projectiles which Return will Return to the entity which originated them after reaching the end of their travel, or on hitting a final target.","","","","","","","","","","","","","","","","","Projectiles","","",""
"1788937663-148","https://poe2db.tw/us/Keywords","Phasing","","","","While Phasing, you can pass through enemies without being blocked by them.","","","","","","","","","","","","","","","","","","","",""
"1788937663-149","https://poe2db.tw/us/Keywords","Corpses","","","","Corpses are left behind by slain Enemies and can be used or consumed by a number of different Skills or effects, though Corpses of Unique monsters cannot be destroyed or consumed. Generally, slain Allies do not leave usable Corpses.","","","","","","","","","","","","","","","","","","","",""
"1788937663-150","https://poe2db.tw/us/Keywords","Charges","","","","Charges can be gained from a number of Skills, passives, and other effects. They do not grant any inherent benefits, but can be consumed to fuel many skills and other effects. Charges last for 15 seconds by default, refreshing whenever you gain another charge of the same type.



There are three types of Charges — Endurance, Frenzy and Power. By default players can have up to 3 of each type of Charge at once.","","","","","","","","","","","","","","","","","","","",""
"1788937663-151","https://poe2db.tw/us/Keywords","Elemental Damage Types","","","","The three Elemental damage types are Fire, Cold, and Lightning.","","","","","","","","","","","","","","","","","","","",""
"1788937663-152","https://poe2db.tw/us/Keywords","Wells","","","","Wells are present in every Town, and will refill your Flasks as well as restoring your Life and Mana when used.","","","","","","","","","","","","","","","","","","","",""
"1788937663-153","https://poe2db.tw/us/Keywords","Presence","","","","Your Presence is an area around your character within which certain effects (such as many Auras) are applied. By default this has a 4 metre radius. The size of this area can be modified by Presence Area modifiers, but not by Skill Area modifiers.","","","","","","","","","","","","","","","","","","","",""
"1788937663-154","https://poe2db.tw/us/Keywords","Light Radius","","","","Your Light Radius determines the distance from your character which will be illuminated in dark areas, and the radius within which terrain and points of interest are revealed on the map.","","","","","","","","","","","","","","","","","","","",""
"1788937663-155","https://poe2db.tw/us/Keywords","Item Rarity","","","","Items can be Normal (grey), Magic (blue), Rare (yellow) or Unique (brown). Item Classes which do not have these rarities, such as Currency, have individual rarity for each item.

Magic items can have 2 Modifiers; a Prefix and a Suffix.

Rare items can have up to 6 Modifiers; 3 Prefixes and 3 Suffixes.

More powerful and dangerous enemies are more likely to drop rarer Items.","","","","","","","","","","","","","","","","","","","",""
"1788937663-156","https://poe2db.tw/us/Keywords","Shatter","","","","Frozen enemies Shatter when killed, destroying their corpse.","","","","","","","","","","","","","","","","","","","",""
"1788937663-157","https://poe2db.tw/us/Keywords","Resistance Penetration","","","","Penetration causes the target's corresponding Resistance to be treated as lower than its actual value by the specified amount when of calculating Damage taken from your Hits. Resistances can only be Penetrated down to a minimum of 0% by default.



Since Penetration only affects Hits and applies to the target's defensive stats rather than your own offensive stats, it does not affect damage with Ailments.","","","","","","","","","","","","","","","","","","","",""
"1788937663-158","https://poe2db.tw/us/Keywords","Armour Break","","","","Some Skills, Items, Support Gems and other effects can Break Armour, which lowers a target's Armour by a specified amount. If this brings the target's Armour value to 0, their Armour is Fully Broken for 12 seconds, or 4 seconds for players. On top of not benefitting from Armour, non-player targets with Fully Broken Armour take 20% increased Physical damage from Hits.



Players Break 3 times Armour against Normal Monsters and 2 times Armour against Magic Monsters.","","","","","","","","Armour","","","","","","","","","","","",""
"1788937663-159","https://poe2db.tw/us/Keywords","Armour Break below 0","","","","Enemies with Armour Broken below 0 have negative Armour. This means they take more Physical damage from Hits. Armour broken below 0 is capped by the enemy's base Armour.","","","","","","","","Armour","","","","","","","","","","","",""
"1788937663-160","https://poe2db.tw/us/Keywords","Channelling","","","","Channelling Skills can be held down to gain power or continue using the Skill for a longer period of time.","","","","","","","","","","","","","","","","","","","",""
"1788937663-161","https://poe2db.tw/us/Keywords","Remote Skills","","","","Remote Skills are Skills that are performed for you by a different entity, such as a Totem, Trap, or Clone. Minions are not Remote Skills.","","","","","","","","","","","","","","","","","","","Minions",""
"1788937663-162","https://poe2db.tw/us/Keywords","Ancestral Boost","","","","An Ancestrally Boosted Slam has 30% more damage and 25% increased area of effect, and an Ancestrally Boosted Strike will target 2 additional Enemies. Triggered Skills cannot be Ancestrally Boosted. Ancestrally Boosted Attacks count as being Empowered.","","","","","","","","","","","","","","","","","","","",""
"1788937663-163","https://poe2db.tw/us/Keywords","Ancestral Boosted Spells","","","","An Ancestrally Boosted Spell has 30% more damage and 25% increased area of effect. Triggered Skills cannot be Ancestrally Boosted.","","","","","","","","","","","","","","","Spell","","","","",""
"1788937663-164","https://poe2db.tw/us/Keywords","Buffs","","","","Buffs are effects that boost a player or monster's stats for a duration or while a condition is met.



Unless otherwise stated, Buffs of the same type do not stack — only the copy with the strongest effect applies.","","","","","","","","","","","","","","","","","","","",""
"1788937663-165","https://poe2db.tw/us/Keywords","Debuffs","","","","Debuffs are negative effects that deal damage or penalise an entity's stats, either for a set duration or when a condition is met.



Unless otherwise stated, Debuffs of the same type do not stack — only the copy with the strongest effect applies.","","","","","","","","","","","","","","","","","","","",""
"1788937663-166","https://poe2db.tw/us/Keywords","Persistent Skills","","","","Persistent Skills are toggled in the Skills Panel instead of being used normally and often need to Reserve Spirit in order to be activated.","","","","","","","","","","","","","","","","","","","",""
"1788937663-167","https://poe2db.tw/us/Keywords","Effect Consumption","","","","Multiple effects on enemies can be Consumed. Only one Consumption benefit can occur at once, and Consumption effects from Skills will take priority over those from other sources.



Consuming a Debuff on an enemy causes the enemy to be immune to that Debuff for 1 seconds.","","","","","","","","","Debuff","","","","","","","","","","",""
"1788937663-168","https://poe2db.tw/us/Keywords","Orb of Alteration","","","","Reforges a Magic item with new random modifiers.","","","","","","","","","","","","","","","","","","","",""
"1788937663-169","https://poe2db.tw/us/Keywords","Artificer's Orb","","","","Adds an Augment Socket to a Martial Weapon or Armour","","","","","","","","","","","","","","","","","","","",""
"1788937663-170","https://poe2db.tw/us/Keywords","Auras","","","","Auras apply Buffs to Allies within a radius, or Debuffs to enemies within a radius of the source of the Aura.","","","","","","","","","Debuffs","","","","","","","","","","",""
"1788937663-171","https://poe2db.tw/us/Keywords","Stormsurge","","","","Each Stormsurge on this Weapon grants 3% of damage Gained as Extra Lightning damage for 5 seconds. Maximum 10 Stormsurge.","","","","","","","","","","","","","","","","","","","",""
"1788937663-172","https://poe2db.tw/us/Keywords","Reviving Minions","","","","Reviving Minions heal after avoiding damage for a short time, and automatically revive after a short delay when killed. This delay is reset whenever another Reviving Minion dies.","","","","","","","","","","","","","","","","","","","Minions",""
"1788937663-173","https://poe2db.tw/us/Keywords","Quality","","","Evasion","Quality grants small bonuses to an item depending on the type of item, up to a default maximum of 20%.



Martial Weapons gain 1% more Physical damage per Quality.

Armours gain 1% more Armour, Evasion, Energy Shield and Runic Ward per Quality.

Rings and Amulets have a number of possible quality types that provide bonuses to specific modifiers on the item.

Flasks gain 1% more Life and Mana recovery per Quality.

Charms gain 1% increased duration per Quality.

Skill Gems or equipment that grant Skills grant a specific bonus to their Skill based on their Quality.","","","","","","","","Armour","","","","","Energy Shield","","","","","","",""
"1788937663-174","https://poe2db.tw/us/Keywords","Support Gems","","","","Support Gems can be inserted into sockets on a Skill Gem in order to modify the effects of that Skill. They only apply to the Skill Gem they are socketed into.



You cannot use multiple copies of the exact same Lineage Support across multiple Skills, or for Supports that grant global benefits to persistent reservation Skills while active.

Cannot use multiple Support Gems of the same Category in one Skill.","","","","","","","","","","","","","","","","","","","",""
"1788937663-175","https://poe2db.tw/us/Keywords","Area of Effect Skills","","","","This Skill has an effect that applies to every target in its area, rather than picking specific targets.



Areas of Effect that originate from a target hit by a Skill will add that target's size to their radius.","","","","","","","","","","","","","","","","","","","",""
"1788937663-176","https://poe2db.tw/us/Keywords","Duration Skills","","","","This Skill has a Duration that can be modified.","","","","","","","","","","","","","","","","","","","",""
"1788937663-177","https://poe2db.tw/us/Keywords","Detonator Skills","","","","Detonator Skills can cause flammable gas, Oil, explosives, and similar effects to explode on contact.","","","","","","","","","","","","","","","","","","","",""
"1788937663-178","https://poe2db.tw/us/Keywords","Nova Skills","","","","Nova Skills take effect in a circular area around their user.","","","","","","","","","","","","","","","","","","","",""
"1788937663-179","https://poe2db.tw/us/Keywords","Triggered Skills","","","","Many effects can cause a Skill to Trigger. A Triggered Skill occurs immediately, without an attack or cast time, and usually targets the cause of the trigger. Triggering a Skill does not count as using it.



If multiple methods of Triggering a Skill attempt to apply to the same skill, that skill will be disabled. Channelled Skills cannot be Triggered.","","","","","","","","","","","","","","","","","","","",""
"1788937663-180","https://poe2db.tw/us/Keywords","Herald Skills","","","","Herald Skills are a type of Persistent Buff that grant powerful effects on killing enemies.","","","","","","","","","","","","","","","","","","","",""
"1788937663-181","https://poe2db.tw/us/Keywords","Recoup","","","","When you take damage from a Hit, Recoup causes you to recover an amount of the stated resource equal to a percentage of the damage you took over 8 seconds.","","","","","","","","","","","","","","","","","","","",""
"1788937663-182","https://poe2db.tw/us/Keywords","Thorns","","","","Thorns damage is a kind of Hit Damage you can deal. Thorns damage is not Attack damage or Spell damage and is not affected by modifiers specific to those.



If you have Thorns damage, you inherently Retaliate against Melee Attack Hits, dealing your Thorns damage to the enemy that Hit you.



Some skills and other effects may also deal your thorns damage to enemies at other times.","","","","","","","","","","","","","","","Spell","","","","",""
"1788937663-183","https://poe2db.tw/us/Keywords","Ignited Ground","","","","Ignited Ground repeatedly inflicts Flammability on enemies as long as they are standing on it, Igniting them when it reaches 50%. By default, Ignited Ground lasts for 4 seconds and has a radius of 2 metres unless otherwise specified.","","","","","","","","","","","","","","","","","","","",""
"1788937663-184","https://poe2db.tw/us/Keywords","Critical Weakness","","","","Critical Weakness causes hits against affected targets to have +0.5% to Critical Hit Chance, and can stack up to 20 times. If not otherwise specified, each stack lasts for 4 seconds.","","","","","","","","","","","","","","","","","","","",""
"1788937663-185","https://poe2db.tw/us/Keywords","Elemental Ground Surfaces","","","","Elemental Ground Surfaces include Shocked Ground, Chilled Ground, and Ignited Ground.","","","","","","","","","","","","","","","","","","","",""
"1788937663-186","https://poe2db.tw/us/Keywords","Crossbow Ammunition Skills","","","","Using a Crossbow Ammunition Skill replaces your Crossbow's basic Attack with the skill indicated. The Ammunition Skill itself does not fire the Ammunition, only load it into your Crossbow. Most Crossbow Ammunition Skills that directly Hit enemies have Knockback.","","","","","","","","","","","","","","","","","","","",""
"1788937663-187","https://poe2db.tw/us/Keywords","Monster Modifiers","","","","Magic and Rare Monsters have Modifiers which will augment them in many ways, making them more rewarding, but also more powerful and deadly. Magic Monsters will normally have a single Monster Modifier, whereas Rare Monsters have up to 4 by default. 



Each Monster Modifier grants at least 100% increased Rarity of Items Dropped, and can grant the Monster additional abilities or permanant buffs.



Monster Modifier Chance increases the potential number of Rare Monster Modifiers with each modifier above 4 requiring twice as much Modifier Chance. Monster Modifier Chance above the maximum number of modifiers increases the chance Rare monsters will have maximum modifiers.



Other mechanics such as Azmeri Spirits, Essences and Delirium can add additional Monster Modifiers to monsters of any rarity.","","","","","","","","","","","","","","","","","","","",""
"1788937663-188","https://poe2db.tw/us/Keywords","Unwavering Stance","","","","Cannot be Light Stunned

Cannot Dodge Roll or Sprint","","","","","","","","","","","","","","","","","","","",""
"1788937663-189","https://poe2db.tw/us/Keywords","Eldritch Battery","","","","Converts 100% of maximum Energy Shield to maximum Mana

Doubles Mana Costs","","","","","","","","","","","","","Energy Shield","","","","","","",""
"1788937663-190","https://poe2db.tw/us/Keywords","Mind over Matter","","","","All Damage is taken from Mana before Life

50% less Mana Recovery Rate","","","Damage","","","","","","","","","","","","","","","","",""
"1788937663-191","https://poe2db.tw/us/Keywords","Blood Magic","","","","You have no Mana

Skill Mana Costs Converted to Life Costs","","","","","","","","","","","","","","","","","","","",""
"1788937663-192","https://poe2db.tw/us/Keywords","Giant's Blood","","","","You can wield Two-Handed Axes, Maces and Swords in one hand

Triple Attribute requirements of weapons

Inherent Life granted by Strength is halved","Attribute","","","","","","","","","","","","","","","","","","",""
"1788937663-193","https://poe2db.tw/us/Keywords","Vaal Pact","","","","50% more amount of Life Leeched

Leech Life 67% less quickly

Cannot Recover Life other than from Leech

Life Leech effects are not removed when Unreserved Life is Filled","","","","","","","","","","","","","","","","","","","",""
"1788937663-194","https://poe2db.tw/us/Keywords","Pain Attunement","","","","30% less Critical Damage Bonus when on Full Life

30% more Critical Damage Bonus when on Low Life","","","","","","","","","","","","","","","","","","","",""
"1788937663-195","https://poe2db.tw/us/Keywords","Hex Master","","","","You can apply an additional Curse

Double Activation Delay of Curses","","","","","","","","","","","","","","","","","","","",""
"1788937663-196","https://poe2db.tw/us/Keywords","Glancing Blows","","","Evade","Chance to Evade is Unlucky

Chance to Deflect is Lucky","","","","","","","","","","","","","","","","","","","",""
"1788937663-197","https://poe2db.tw/us/Keywords","Ancestral Bond","","","","Your Totem Limit is doubled

No cost or Charge requirement for placing Totems

Totems reserve 75 Spirit each","","","","","","","","","","","","","","","","","","","",""
"1788937663-198","https://poe2db.tw/us/Keywords","Conduit","","","","If you would gain a Charge, Allies in your Presence gain that Charge instead.","","","","","","","","","","","","","","","","","","","",""
"1788937663-199","https://poe2db.tw/us/Keywords","Resolute Technique","","","","Accuracy Rating is Doubled

Never deal Critical Hits","","","","","","","","","","","","","","Accuracy","","","","","",""
"1788937663-200","https://poe2db.tw/us/Keywords","Whispers of Doom","","","","You can apply an additional Curse

Double Activation Delay of Curses","","","","","","","","","","","","","","","","","","","",""
"1788937663-201","https://poe2db.tw/us/Keywords","Avatar of Fire","","","","75% of Damage Converted to Fire Damage

Deal no Non-Fire Damage","","","","","","","","","","","","","","","","","","","",""
"1788937663-202","https://poe2db.tw/us/Keywords","Scarred Faith","","","","5% of Physical Damage prevented Recouped as Energy Shield per enemy Power

Energy Shield does not Recharge

You cannot Recover Energy Shield from Regeneration

You cannot Recover Energy Shield to above Armour","","","","","","","","Armour","","","","","Energy Shield","","","","","","","Recharge"
"1788937663-203","https://poe2db.tw/us/Keywords","Lord of the Wilds","","","","You can equip a non-Unique Sceptre while wielding a Talisman

50% less Spirit

Non-Minion Skills have 50% less Reservation Efficiency","","","","","","","","","","","","","","","","","","","Minion",""
"1788937663-204","https://poe2db.tw/us/Keywords","Necromantic Talisman","","","","All bonuses from Equipped Amulet apply to your Minions instead of you","","","","","","","","","","","","","","","","","","","Minions",""
"1788937663-205","https://poe2db.tw/us/Keywords","Hollow Palm Technique","","Item Evasion","","Can Attack as though using a Quarterstaff while both of your hand slots are empty

Unarmed Attacks that would use an Equipped Quarterstaff's damage have:

• Base Unarmed Physical damage replaced with damage based on their Skill Level

• 1% more Attack Speed per 75 Item Evasion on Equipped Armour Items

• +0.1% to Critical Hit Chance per 10 Item Energy Shield on Equipped Armour Items","","","","","","","Equipped Armour Items","","","","","","","","","","","","",""
"1788937663-206","https://poe2db.tw/us/Keywords","Chaos Inoculation","","","","Maximum Life is 1

Immune to Chaos Damage and Bleeding","","","","","","Bleeding","","","","","","","","","","","","","",""
"1788937663-207","https://poe2db.tw/us/Keywords","Martial Weapons","","Quarterstaves","","Martial Weapons can be used to Attack. Axes, Bows, Claws, Crossbows, Daggers, Flails, Maces, Quarterstaves, Spears, Swords, and Talismans are Martial Weapons.","","","","","","","","","","","","","","","","","","","",""
"1788937663-208","https://poe2db.tw/us/Keywords","Sacrifice","","","","Sacrificing is loss of a resource (commonly Life, Mana or Energy Shield) that does not count as taking damage. You cannot Sacrifice a resource you do not have. Sacrificing Life cannot reduce you below 1 Life, but Sacrifices you cause on others (such as Sacrificing Minion Life) can lead to their death.","","","","","","","","","","","","","Energy Shield","","","","","","Minion",""
"1788937663-209","https://poe2db.tw/us/Keywords","Travel Skills","","","","Travel Skills cover a large amount of distance without needing to target an enemy. If you have multiple Travel Skills with cooldowns, their cooldowns are shared.","","","","","","","","","","","","","","","","","","","",""
"1788937663-210","https://poe2db.tw/us/Keywords","Eternal Youth","","","","Life Recharges instead of Energy Shield

50% less Life Recovery from Flasks","","","","","","","","","","","","","","","","","","","","Energy Shield"
"1788937663-211","https://poe2db.tw/us/Keywords","Support Gem Requirements","","","","Every Support Gem you have socketed will incur a cumulative Attribute requirement, generally at a value of five of the relevant stat for each support gem used.



This Attribute requirement is separate from that required by your Skill Gems and Equipment.","Attribute","","","","","","","","","","","","","","","","","","",""
"1788937663-212","https://poe2db.tw/us/Keywords","Buff/Debuff Magnitude","","Debuff","","The Magnitudes of a Buff or Debuff are the values of the stats it applies to the target. A Buff or Debuff with higher magnitudes is more powerful.



Modifiers to the Magnitude of Buffs or Debuffs come from whoever applies it and are multiplicative with modifiers to the Effect the Buff or Debuff has on the target.","","","","","","","","","Debuff","","","","","","","","","","",""
"1788937663-213","https://poe2db.tw/us/Keywords","Buff/Debuff Effect","","","","Modifiers to the Effect of Buffs or Debuffs usually come from the target it affects and are multiplicative with modifiers to the Magnitudes of the Buff or Debuff, which come from its creator.","","","","","","","","","Debuffs","","","","","","","","","","",""
"1788937663-214","https://poe2db.tw/us/Keywords","Heartstopper","","","","Take 50% less damage over time if you've started taking damage over time in the past second

Take 50% more damage over time if you haven't started taking damage over time in the past second","","","","","","","","","","","","","","","","","","","",""
"1788937663-215","https://poe2db.tw/us/Keywords","Elemental Equilibrium","","Fire","","Create Lightning Infusion Remnants instead of Fire

Create Cold Infusion Remnants instead of Lightning

Create Fire Infusion Remnants instead of Cold","","","","","","","","","","","","","","","","","","","",""
"1788937663-216","https://poe2db.tw/us/Keywords","Oasis","","","","Cannot use Charms

30% more Recovery from Flasks","","","","","","","","","","","","","","","","","","","",""
"1788937663-217","https://poe2db.tw/us/Keywords","Arcane Surge","","","","Arcane Surge grants 15% increased Cast Speed and 20% more Mana Regeneration Rate.","","","","","","","","","","","","","","","","","","","",""
"1788937663-218","https://poe2db.tw/us/Keywords","Arcane Surge","","","","Arcane Surge grants 15% increased Cast Speed and 20% more Mana Regeneration Rate.

It lasts for 4 seconds by default.","","","","","","","","","","","","","","","","","","","",""
"1788937663-219","https://poe2db.tw/us/Keywords","Invoke","","","","Invoked Skills are those Triggered by Invocation Skills.","","","","","","","","","","","","","","","","","","","",""
"1788937663-220","https://poe2db.tw/us/Keywords","Meta Gems","","","","Meta Gems are Skill Gems that other Skill Gems can be socketed into. They can use, Trigger, or otherwise apply the effects of those other Skill Gems. Skill Gems and Support Gems can be socketed into Meta Gems interchangeably, though most Meta Gems require at least one Skill Gem to be socketed to function.



Meta Gems can never be socketed into other Meta Gems.","","","","","","","","","","","","","","","","","","","",""
"1788937663-221","https://poe2db.tw/us/Keywords","Final Strike","","","","Skills that meet this requirement use the term ""Final Strike"" to refer to the last strike of their sequence.","","","","","","","","","","","","","","","","","","","",""
"1788937663-222","https://poe2db.tw/us/Keywords","Finality","","","","Finality is a Buff that grants 100% increased Critical Hit Chance with Final Strikes, and makes your Strike skills skip to their Final Strike if they have one.



Skills cannot gain Combo while you have Finality.","","","","","","","","","","","","","","","","","","","",""
"1788937663-223","https://poe2db.tw/us/Keywords","Corrupted Blood","","","","Corrupted Blood is a Debuff that deals Physical damage over time.

Up to 10 Corrupted Blood debuffs can be inflicted on each target.



Corrupted Blood is not Bleeding and is not affected by any stats related to Bleeding.","","","","","","Bleeding","","","Debuff","","","","","","","","","","",""
"1788937663-224","https://poe2db.tw/us/Keywords","Aggravated Bleeding","","Debuffs","","Bleeding that has been Aggravated always treats the target as moving, which causes it to deal 100% extra damage.



Once a Bleeding Debuff has been Aggravated, it will remain Aggravated until its duration expires.



Each Bleeding Debuff can be Aggravated, or not, independently — one Bleeding Debuff being Aggravated does not mean other Bleeding Debuffs on the target are also Aggravated, and Aggravating some or all of them will have no effect on new Bleeding Debuffs applied afterwards. However, effects which Aggravate Bleeding on a target do so to all Bleeding Debuffs currently on that target unless otherwise specified.","","","","","","Bleeding","Bleeding","","Debuff","","","","","","","","","","",""
"1788937663-225","https://poe2db.tw/us/Keywords","Aggravated Ignite","","","","Ignite that has been Aggravated deals 100% extra damage.



Once an Ignite has been Aggravated, it will remain Aggravated until its duration expires.



Just like Bleeding, each Ignite Debuff can be Aggravated, or not, independently of others on the target.","","","","","","Bleeding","","","Debuff","","","","","","","","","","",""
"1788937663-226","https://poe2db.tw/us/Keywords","Allies Leech the same amount","","","","Their modifiers to the amount they leech will not affect this amount; your modifiers have already applied to it.","","","","","","","","","","","","","","","","","","","",""
"1788937663-227","https://poe2db.tw/us/Keywords","Non-Stacking Effects","","","","This effect does not stack. Applying it again before the first expires will refresh the duration.","","","","","","","","","","","","","","","","","","","",""
"1788937663-228","https://poe2db.tw/us/Keywords","Mark","","","","Marks are a family of Debuffs that apply powerful effects to a single enemy, usually for a limited duration. You can have multiple Marked enemies at once, but each individual enemy can only have a single Mark applied to them at once.



Marks can be Activated when specific conditions occur, which will cause some extra effect and then Consume the Mark.","","","","","","","","","Debuffs","","","","","","","","","","",""
"1788937663-229","https://poe2db.tw/us/Keywords","Life Recharge","","","","Lost Life will start Recharging at a rate of 12.5% per second after a base delay of 4 seconds. Further loss of Life resets this delay, interrupting Recharge.

Modifiers to Energy Shield Recharge Rate or to how fast it starts will also apply to Life Recharge.","","","","","","","","","","","","","","","","","","","",""
"1788937663-230","https://poe2db.tw/us/Keywords","Energy Shield Recharge","","","","Lost Energy Shield will start Recharging at a rate of 12.5% per second after a base delay of 4 seconds. Further loss of Energy Shield resets this delay, interrupting Recharge.","","","","","","","","","","","","","Energy Shield","","","","","","",""
"1788937663-231","https://poe2db.tw/us/Keywords","Energy Shield Protecting Mana","","","","Energy Shield will no longer protect you from Damage, unless that damage would be dealt to Mana.","","","","","","","","","","","","","","","","","","","",""
"1788937663-232","https://poe2db.tw/us/Keywords","Onslaught","","","","Onslaught grants 20% increased Skill Speed and 10% increased movement speed.

Unless specified, Onslaught lasts 4 seconds.","","","","","","","","","","","","","","","","","","","",""
"1788937663-233","https://poe2db.tw/us/Keywords","Druidic Prowess","","","","Druidic Prowess is a stacking Buff which grants 10% increased Skill Speed and causes Hits with Spell Damage to grant 3 Rage per stack for 10 seconds. Each stack has an independent duration. Maximum 3 stacks.","","","","","","","","","","","","","","","Spell","","","","",""
"1788937663-234","https://poe2db.tw/us/Keywords","Fear Incarnate","","","","Each Fear Incarnate grants 10% increased Culling Strike Threshold and lasts 10 seconds. This duration is refreshed when you gain another Fear Incarnate.



You can have up to a maximum of 20 Fear Incarnate.","","","","","","","","","","","","","","","","","","","",""
"1788937663-235","https://poe2db.tw/us/Keywords","Fear Overwhelming","","","","Each Fear Overwhelming grants 5% increased Area of Effect for Attack Skills and lasts 10 seconds. This duration is refreshed when you gain another Fear Overwhelming.



You can have up to a maximum of 20 Fear Overwhelming.","","","","","","","","","","","","","","","","","","","",""
"1788937663-236","https://poe2db.tw/us/Keywords","Checkpoints","","","","Checkpoints are a form of saving your progress through Wraeclast and will often appear before Boss fights and at points of interest. Reaching a Checkpoint will refill your Life, Mana, Flasks and Charms.



On death, you can choose to revive either in Town or at the last Checkpoint you reached. For this purpose, Waypoints also function as Checkpoints.



You can also teleport between Checkpoints within an area, or from a Checkpoint to the Waypoint.","","","","","","","","","","","","","","","","","","","",""
"1788937663-237","https://poe2db.tw/us/Keywords","Checkpoints in Maps","","","","Once all Checkpoints have been activated and the Map is completed, all remaining unfinished map content will be revealed on the minimap.","","","","","","","","","","","","","","","","","","","",""
"1788937663-238","https://poe2db.tw/us/Keywords","Waypoints","","","","Waypoints are a form of saving your progress through Wraeclast. Most areas (though not all) will have one, and they can be used to quickly travel from area to area. Reaching a Waypoint will refill your Life, Mana, Flasks and Charms.","","","","","","","","","","","","","","","","","","","",""
"1788937663-239","https://poe2db.tw/us/Keywords","Elemental Ailment Threshold","","","","A higher Elemental Ailment Threshold makes it less likely that being Hit by Elemental Damage will apply the relevant Ailment, as well as lowering the amount of Freeze and Electrocute buildup recieved. A lower Elemental Ailment Threshold makes it more likely, and increases buildup of Freeze and Electrocute recieved. By default a player's Ailment Threshold is equal to half their Life.","","","","","","","","","","","","","","","","","","","",""
"1788937663-240","https://poe2db.tw/us/Keywords","Maximum Resistances","","","","The default maximum for Elemental or Chaos resistances is 75%. Maximum resistances cannot be raised above 90%.","","","","","","","","","","","","","","","","","","","",""
"1788937663-241","https://poe2db.tw/us/Keywords","Resonance","","","","Gain Power Charges instead of Frenzy Charges

Gain Frenzy Charges instead of Endurance Charges

Gain Endurance Charges instead of Power Charges","","","","","","","","","","","","","","","","","","","",""
"1788937663-242","https://poe2db.tw/us/Keywords","Sustained Skills","","","","Sustained skills cause a large number of Hits over a period of time. They roll for Critical Hits independently each time they damage enemies, rather than rolling once for the entire skill as other skills do.","","","","","","","","","","","","","","","","","","","",""
"1788937663-243","https://poe2db.tw/us/Keywords","Daze","","","","Some skills and effects have a chance to apply Daze to enemies on Hit.



Daze lasts for 8 seconds, and a Dazed enemy will take 50% more Stun Buildup. There are also a number of Skills, Effects, and other mechanics which interact with Daze for various benefits.","","","","","","","","","","","","","","","","","","","",""
"1788937663-244","https://poe2db.tw/us/Keywords","Combo","","","","Combo is a counter on some Skills that can be required to use the Skill or grant extra effects. Skills gain Combo when you Strike Enemies. Combo will fall off after a short time without this happening.



Combo can only be built while using the same weapon as the Combo Skill is bound to, and will be lost if you Swap Weapons.","","","","","","","","","","","","","","","","","","","",""
"1788937663-245","https://poe2db.tw/us/Keywords","Minion Death and Killing Minions","","","","Minions whose durations expire or that are despawned by the player are considered to have died. However, effects that state they trigger when a Minion is Killed do not trigger in these cases. Minions are only Killed if they reach 0 life, though this can be caused by their summoner as well as enemies.","","","","","","","","","","","","","","","","","","","Minions",""
"1788937663-246","https://poe2db.tw/us/Keywords","Surrounded","","","","You are Surrounded if there are at least 5 enemies within 3 metres of you. The number of enemies required to be Surrounded cannot be reduced below 1.","","","","","","","","","","","","","","","","","","","",""
"1788937663-247","https://poe2db.tw/us/Keywords","Reservation","","","","Reservation effects prevent a portion of a given resource — usually Spirit, though it can also be Life or Mana — from being used for other purposes while active. Reserving a resource does not change the maximum value of that resource.","","","","","","","","","","","","","","","","","","","",""
"1788937663-248","https://poe2db.tw/us/Keywords","Low Infernal Flame","","","","You are on Low Infernal Flame if you have 35% of your maximum Infernal Flame or less.","","","","","","","","","","","","","","","","","","","",""
"1788937663-249","https://poe2db.tw/us/Keywords","Bulwark","","","","Dodge Roll cannot Avoid Damage

Take 30% less Damage from Hits while Dodge Rolling","","","","","","","","","","","","","","","","","","","",""
"1788937663-250","https://poe2db.tw/us/Keywords","Damage Conversion","","","","Damage can be converted from one type to another. This causes it to deal the new damage type, scale with modifiers to the new damage type, and no longer scale with modifiers to the old damage type.



For example, Fire damage converted to Lightning now scales with Lightning damage modifiers and causes Shock, but no longer scales with Fire damage modifiers or causes Ignite.



Conversion is a two step process. Conversion inherent to Skills occurs first, then Conversion from all other sources. Damage over time cannot be converted.","","","","Shock","","","","","","","","","","","","","","","",""
