web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,image
"1788936811-51","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","","Sanguine RevelryBuff, Persistent, RemnantConjure hateful energy to fuel your Rage and Life. While active, Bleeding enemies you kill have a chance to spawn a Hateful Remnant, and Hitting a Bleeding target spawns a Hateful Remnant every few seconds. Picking up a Hateful Remnant grants you Rage and recovers Life based on your current Rage.","Sanguine Revelry","","Buff, Persistent, Remnant","","","","","","","","","","","","","","","","","","","","","Persistent","","","","","","","","","","","","","","","","Remnant","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CrimsonChrysalis.webp"
"1788936811-52","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","","Magma BarrierBuff, Attack, Persistent, AoE, Melee, Trigger, FireWhile active, increases your Block Chance passively and imbues your Shield with lava over time. When fully imbued, your next Block with your Shield raised will expend the lava to Trigger the Magma Spray skill and grant you an Endurance Charge.","","","Buff, Attack, Persistent, AoE, Melee, Trigger, Fire","","","","","","","","","","","","","","","Magma Barrier","","","","","Endurance Charge","Persistent","","","","","","","","","","","Fire","Trigger","","AoE","","","","","Melee","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BruteMagmaBarrier.webp"
"1788936811-53","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Freezing Shards","","Freezing ShardsSpell, Projectile, Cold, RepeatableLaunch icy Projectiles in a sweeping arc. Multiple Projectiles can hit the same enemy.","","","Spell, Projectile, Cold, Repeatable","","","","","","","","","","","","Repeatable","","","","","","","","","","","Cold","","","","","","","","","","","","","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/FreezingShardsStaff.webp"
"1788936811-54","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Minion","","","Rhoa Mount","Rhoa MountMinion, Buff, Companion, PersistentHarnesses a Companion Rhoa you can mount while you're wielding a Bow or Spear. While mounted you can use Bow, thrown Spear, and Mark Skills, and are much less slowed while using Skills, but being Hit will cause Heavy Stun buildup. While you aren't mounted, the Rhoa will attack your enemies alongside you with its beak, but can be damaged.","","Heavy Stun","Minion, Buff, Companion, Persistent","","","","","","","","","","Companion","","","","","","","","","","","Persistent","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RhoaMountSkillIcon.webp"
"1788936811-55","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Decompose","","DecomposeSpell, AoE, Fire, Chaos, DurationConsume a Corpse to create a cloud of flammable Poisonous gas. Any Burning effects or Detonator skills will explode the gas cloud, creating a fiery explosion.","","","Spell, AoE, Fire, Chaos, Duration","","","","","","","","","","","","","Chaos","","","","","","","","","","","","","Duration","","","","","Corpse","Fire","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DecomposeSkill.webp"
"1788936811-56","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","Raging Spirits","","Raging SpiritsBuff, Minion, Persistent, Fire, DurationWhile active, Fire Spells you use yourself will also summon Raging Spirits, which are short-lived flaming skulls that rush at nearby enemies and rapidly Attack them, ignoring commands. Enemies will not directly engage these Minions, and can pass through them.","","","Buff, Minion, Persistent, Fire, Duration","","","","","","","","","","","","","","","","","","","","","Persistent","","","","","Duration","","","","","","Fire","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WitchReservationRaginSpirits.webp"
"1788936811-57","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","Wind Dancer","Wind DancerBuff, Attack, Persistent, AoE, Melee, Trigger, StagedWhile active, periodically grants stages of a buff that gives you more Evasion per stage. Being Hit by an Enemy while you have this buff consumes all stages to damage and Knock Back enemies around you.","","","Buff, Attack, Persistent, AoE, Melee, Trigger, Staged","","","","","","","","Staged","","","","","","","","","","","","","Persistent","","","","","","","","","","","","Trigger","","AoE","","","","","Melee","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RangerWindDancerSkill.webp"
"1788936811-58","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","Cast on Minion Death","","Cast on Minion DeathBuff, Minion, Persistent, Trigger, MetaWhile active, gains Energy when one of your Persistent Minions is Killed, and triggers socketed Spells upon reaching maximum Energy. Very underlevelled Minions will incur an Energy generation penalty. Cannot socket Spells which create Minions.","","Energy","Buff, Minion, Persistent, Trigger, Meta","","","","","","","","","","","","","","","","","","","","","Persistent","","","Meta","","","","","","","","","Trigger","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastOnMinionDeath.webp"
"1788936811-59","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","","Scavenged PlatingBuff, Persistent, Physical, DurationWhile active, uses fragments of armour scavenged from enemies to bolster your own. Fully Breaking an enemy's Armour grants you stacks of Scavenged Plating for a duration based on the enemy's Rarity, and you gain Armour and Thorns per stack. Normal enemies grant 1 stack, Magic enemies grant 2 stacks, Rare enemies grant 5 stacks and Unique enemies grant 10 stacks.","","","Buff, Persistent, Physical, Duration","","","","","","","","","","","","","","","Scavenged Plating","","","Physical","","","Persistent","","","","","Duration","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BruteScavengedPlating.webp"
"1788936811-60","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Mana Drain","","Mana DrainSpellLeech Mana from an enemy over a prolonged period, as well as briefly Hindering them.","","","Spell","","","","","","","","","","","","","","","","","","","","","","","","","Hindering","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ManaDrainWeaponSkill.webp"
"1788936811-61","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Bone Blast","","Bone BlastSpell, AoE, Physical, Duration, RepeatableConjure a circle of ritual inscriptions that last for a short duration. When the duration ends, spikes of bone erupt from enemies in the area, damaging them and potentially causing Bleeding.","","","Spell, AoE, Physical, Duration, Repeatable","","","","","","","","","","","","Repeatable","","","","","","Physical","","","","","","","","Duration","","","","","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BoneBlastWeaponSkill.webp"
"1788936811-62","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","Blink","","BlinkBuff, Spell, Persistent, TravelWhile active, replaces your dodge roll with a short-cooldown Spell that allows you to tunnel through space, instantly reappearing a medium distance away.","","","Buff, Spell, Persistent, Travel","","","","","","","","","","","","","","","","","","","","","Persistent","","","","","","Travel","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressBlinkReservation.webp"
"1788936811-63","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","","Black Powder BlitzBuff, Persistent, AoE, Physical, Fire, Detonator, TravelReplaces your dodge roll with an explosive-assisted leap, firing off a round from your prosthetic cannon leg that Blinds and Ignites enemies in the area you escape from. The explosion will cause any Grenades in its area of effect to also explode.","Black Powder Blitz","","Buff, Persistent, AoE, Physical, Fire, Detonator, Travel","","","","","","","","","","","","","","","","","","Physical","","","Persistent","","","","","","Travel","","","","","Fire","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ShankgonneSkill.webp"
"1788936811-64","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","Malice","","MaliceBuff, Persistent, Aura, DurationWhile active, emits an Aura that continuously inflicts Critical Weakness on enemies in your Presence.","","","Buff, Persistent, Aura, Duration","","","","Presence","","","","","","","","","","","","","","","","","Persistent","","","","","Duration","","","Aura","Aura","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/MaliceWeaponSkill.webp"
"1788936811-65","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Untether","","UntetherSpell, AoE, Physical, DurationPlant a seed of Abyssal Energy on the enemy's heart. Dealing enough damage to the enemy, or killing it outright, causes their heart to explode, dealing Physical damage in an area.","","","Spell, AoE, Physical, Duration","","","","","","","","","","","","","","","","","","Physical","","","","","","","","Duration","","","","","","","","","AoE","Physical","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/AbyssalLivingBomb.webp"
"1788936811-66","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Ember Fusillade","","Ember FusilladeSpell, AoE, Projectile, Fire, Duration, RepeatableConjure a blazing Ember that hovers above you. After a short duration, the Ember launches at an enemy, dealing Fire damage in an area on impact and prioritising the last enemy targeted. Recasting this spell resets the duration for all active Embers. Multiple Embers fired in the same Fusillade will attempt to target different enemies. Consumes a Lightning Infusion if possible to cause the entire Fusillade to create beams that Chain to enemies.","","","Spell, AoE, Projectile, Fire, Duration, Repeatable","","","","","","","Infusion","","","","","Repeatable","","","","Consumes","Chain","","","","","","","","","Duration","","","","","","Fire","","","AoE","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressBlazingCluster.webp"
"1788936811-67","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","PunchAttack, AoE, Melee, StrikePerform an Unarmed Strike.","Punch","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/UnarmedDefaultSkill.webp"
"1788936811-68","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Quarterstaff StrikeAttack, AoE, Melee, StrikeStrike with your Quarterstaff.","Quarterstaff Strike","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/QuarterstaffDefaultSkill.webp"
"1788936811-69","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Flail StrikeAttack, AoE, Melee, StrikeStrike with your Flail.","Flail Strike","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/FlailDefaultSkill.webp"
"1788936811-70","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Sword SlashAttack, AoE, Melee, StrikeStrike with your Sword.","Sword Slash","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/OneHandSwordDefaultSkill.webp"
"1788936811-71","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Sword SlashAttack, AoE, Melee, StrikeStrike with your Swords.","Sword Slash","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DualWieldSwordDefaultSkill.webp"
"1788936811-72","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Sword SlashAttack, AoE, Melee, StrikeStrike with your Sword.","Sword Slash","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/TwoHandSwordDefaultSkill.webp"
"1788936811-73","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Axe SlashAttack, AoE, Melee, StrikeStrike with your Axe.","Axe Slash","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/OneHandAxeDefaultSkill.webp"
"1788936811-74","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Axe SlashAttack, AoE, Melee, StrikeStrike with your Axes.","Axe Slash","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DualWieldAxeDefaultSkill.webp"
"1788936811-75","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Axe SlashAttack, AoE, Melee, StrikeStrike with your Axe.","Axe Slash","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/TwoHandAxeDefaultSkill.webp"
"1788936811-76","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Mace StrikeAttack, AoE, Melee, StrikeStrike with your Mace.","Mace Strike","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/OneHandMaceDefaultSkill.webp"
"1788936811-77","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Mace StrikeAttack, AoE, Melee, StrikeStrike with your Maces.","Mace Strike","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DualWieldMaceDefaultSkill.webp"
"1788936811-78","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Mace StrikeAttack, AoE, Melee, StrikeStrike with your Mace.","Mace Strike","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/TwoHandMaceDefaultSkill.webp"
"1788936811-79","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Claw StabAttack, AoE, Melee, StrikeStrike with your Claw.","Claw Stab","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/OneHandClawDefaultSkill.webp"
"1788936811-80","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Claw StabAttack, AoE, Melee, StrikeStrike with your Claws.","Claw Stab","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DualWieldClawDefaultSkill.webp"
"1788936811-81","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Dagger StabAttack, AoE, Melee, StrikeStrike with your Dagger.","Dagger Stab","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/OneHandDaggerDefaultSkill.webp"
"1788936811-82","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Dagger StabAttack, AoE, Melee, StrikeStrike with your Daggers.","Dagger Stab","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/TwoHandDaggerDefaultSkill.webp"
"1788936811-83","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Spear StabAttack, AoE, Melee, StrikeStrike with your Spear.","Spear Stab","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/TwoHandSpearDefaultSkill.webp"
"1788936811-84","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Spear StabAttack, AoE, Melee, StrikeStrike with your Spear.","Spear Stab","","Attack, AoE, Melee, Strike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SpearDefaultSkill.webp"
"1788936811-85","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Spear ThrowAttack, AoE, Projectile, RepeatableHurl your Spear with force. Consumes a Frenzy Charge if you have one to cause the Spear to explode at the end of its flight.","Spear Throw","","Attack, AoE, Projectile, Repeatable","","","","","","","","","","","","Repeatable","","","","","","","","Frenzy Charge","","","","","","","","","","","","","","","AoE","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HuntressIceSpear.webp"
"1788936811-86","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Bow ShotAttack, Projectile, RepeatableFire an arrow with your Bow.","Bow Shot","","Attack, Projectile, Repeatable","","","","","","","","","","","","Repeatable","","","","","","","","","","","","","","","","","","","","","","","","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BowDefaultSkill.webp"
"1788936811-87","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Crossbow ShotAttack, Ammunition, ProjectileFire a bolt from your crossbow.","Crossbow Shot","","Attack, Ammunition, Projectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/PowerShot.webp"
"1788936811-88","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","","Life RemnantsBuff, Persistent, RemnantDrink the blood of your enemies to restore your Life. While active, enemies you kill have a chance to spawn a Life Remnant, and Hitting a target spawns a Life Remnant every few seconds. Picking up a Life Remnant grants you Life which can Overflow maximum Life.","Life Remnants","","Buff, Persistent, Remnant","","","","","","","","","","","","","","","","","","","","","Persistent","","","","","","","","","","","","","","","","Remnant","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BloodChannel.webp"
"1788936811-89","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Explosive ConcoctionAttack, AoE, Projectile, FireConsume charges from your Mana Flask to throw a flask that explodes, dealing Fire Attack damage in an area. Additional smaller flasks are thrown at nearby Ignited Enemies. This damage is not based on your unarmed damage, so this is not considered an Unarmed Attack.","Explosive Concoction","","Attack, AoE, Projectile, Fire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fire","","","AoE","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RangerBrewConcoctionFireSkill.webp"
"1788936811-90","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Fulminating ConcoctionAttack, AoE, Projectile, LightningConsume charges from your Mana Flask to throw a flask that explodes, dealing Lightning Attack damage in an area with high chance to Shock. This damage is not based on your unarmed damage, so this is not considered an Unarmed Attack.","Fulminating Concoction","","Attack, AoE, Projectile, Lightning","","","","","","","","","","","Lightning","","","","","","","","","","","","","","","","","","","","","","","","AoE","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RangerBrewConcoctionLightningSkill.webp"
"1788936811-91","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Shattering ConcoctionAttack, AoE, Projectile, ColdConsume charges from your Mana Flask to throw a flask that explodes, dealing Cold Attack damage in an area and inflicting Exposure. This damage is not based on your unarmed damage, so this is not considered an Unarmed Attack.","Shattering Concoction","","Attack, AoE, Projectile, Cold","","","","","","","","","","","","","","","","","","","Cold","","","","Cold","","","","","","","","","","","","AoE","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RangerBrewConcoctionColdSkill.webp"
"1788936811-92","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Acidic ConcoctionAttack, AoE, Projectile, PhysicalConsume charges from your Mana Flask to throw a flask that explodes, dealing Physical Attack damage in an area. The thrown flask Consumes Poison on Hit to cause an acidic burst. This damage is not based on your unarmed damage, so this is not considered an Unarmed Attack.","Acidic Concoction","","Attack, AoE, Projectile, Physical","","","","","","","","","","","","","","","","Consumes","","Physical","","","","","","","","","","","","","","","","","AoE","Physical","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RangerBrewConcoctionPoisonSkill.webp"
"1788936811-93","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Bleeding ConcoctionAttack, AoE, Projectile, PhysicalConsume charges from your Mana Flask to throw a flask that explodes, dealing Physical Attack damage in an area and Aggravating Bleeding on Enemies hit. This damage is not based on your unarmed damage, so this is not considered an Unarmed Attack.","Bleeding Concoction","","Attack, AoE, Projectile, Physical","","","","","","","","","","","","","","","","","","Physical","","","","","","","","","","","","","","","","","AoE","Physical","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RangerBrewConcoctionBleedSkill.webp"
"1788936811-94","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","","","MeditateSpell, ChannellingChannel to Recharge Energy Shield and allow that Recharge to Overflow. Channelling ends when you take damage or your Energy Shield is fully Overflowed.","Meditate","","Spell, Channelling","","","","","","","","","","","","","","","","","","","","","","","","","","","","Energy Shield","","","","","","Channelling","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/MonkInvokerMeditate.webp"
"1788936811-95","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","","","Elemental StormSpell, AoE, Trigger, Lightning, Cold, Fire, Duration, OrbCreate a stationary Fire, Cold or Lightning storm at a target location for a duration, based on the highest Elemental Damage type for the Hit that Triggered the storm. Hits which do not deal Elemental Damage will not Trigger the storm.","Elemental Storm","Elemental Damage","Spell, AoE, Trigger, Lightning, Cold, Fire, Duration, Orb","","","","","","","","","","","Lightning","","","","","","","","Cold","","","","Cold","","","Duration","","","","","","Fire","Trigger","","AoE","","","","Orb","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressElementalStorm.webp"
"1788936811-96","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","","","DecomposeSpell, AoE, Trigger, Fire, Chaos, DurationConsume a Corpse to create a cloud of flammable Poisonous gas. Any Burning effects or Detonator skills will explode the gas cloud, creating a fiery explosion.","Decompose","","Spell, AoE, Trigger, Fire, Chaos, Duration","","","","","","","","","","","","","Chaos","","","","","","","","","","","","","Duration","","","","","Corpse","Fire","Trigger","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DecomposeSkill.webp"
"1788936811-97","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","","","Elemental ExpressionSpell, AoE, Projectile, Trigger, Lightning, Cold, Fire, ChainingCreate a fiery explosion, an arcing bolt of lightning, or an icy wave of projectiles. The chance for an explosion is proportional to your Strength, for a bolt proportional to your Dexterity, and for a wave proportional to your Intelligence.","Elemental Expression","","Spell, AoE, Projectile, Trigger, Lightning, Cold, Fire, Chaining","","","","","","","","","","","Lightning","","","Chaining","","","","","","","","","Cold","","","","","","","","","Fire","Trigger","","AoE","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/MonkInvokerWildStrike.webp"
"1788936811-98","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Banner","","","","War BannerBanner, Buff, Persistent, AoE, Aura, Duration, ConditionalWhile active, Attacking enemies builds Glory. When you have maximum Glory, you can place an inspiring Banner for a duration with an Aura that grants you and nearby Allies Attack damage, Attack speed and Accuracy.","War Banner","Attack","Banner, Buff, Persistent, AoE, Aura, Duration, Conditional","","","","","","","","","","","","","","","","","","","","","Persistent","Allies","","","","Duration","","","Aura","Aura","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WarBannerSkill.webp"
"1788936811-99","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Banner","","","","Defiance BannerBanner, Buff, Persistent, AoE, Aura, Duration, ConditionalWhile active, Attacking enemies builds Glory. When you have maximum Glory, you can place an inspiring Banner for a duration with an Aura that grants you and nearby Allies Armour, Evasion and movement speed.","Defiance Banner","Evasion","Banner, Buff, Persistent, AoE, Aura, Duration, Conditional","","","","","","","","","","","","","","","","","","","","","Persistent","Allies","","","","Duration","","","Aura","Aura","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DefianceBannerSkill.webp"
"1788936811-100","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Banner","","","","Dread BannerBanner, Buff, Persistent, AoE, Aura, Duration, ConditionalWhile active, Attacking enemies builds Glory. When you have maximum Glory, you can place an inspiring Banner for a duration with an Aura that grants you and nearby Allies Elemental Ailment Threshold, Maximum Elemental Resistances and Flask charges.","Dread Banner","Maximum Elemental Resistances","Banner, Buff, Persistent, AoE, Aura, Duration, Conditional","","","","","","","","","","","","","","","","","","","","","Persistent","Allies","","","","Duration","","","Aura","Aura","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DreadBannerSkill.webp"
"1788936811-101","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","","Unbound AvatarBuff, Lightning, Cold, Fire, Duration, ConditionalGain Unbound Fury by inflicting Elemental Ailments with Hits on enemies. Once you reach maximum Unbound Fury, consume it to become Unbound for a duration, vastly augmenting your Elemental prowess.","Unbound Avatar","","Buff, Lightning, Cold, Fire, Duration, Conditional","","","","","","","","","","","Lightning","","","","","","","","","","","","Cold","","","Duration","","","","","","Fire","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/MonkInvokerUnboundAvatar.webp"
"1788936811-102","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Minion","","","","Summon Infernal HoundMinion, Companion, Persistent, FireActivate to summon a Reviving Infernal Hound which Ignites enemies near it.","Summon Infernal Hound","","Minion, Companion, Persistent, Fire","","","","","","","","","","Companion","","","","","","","","","","","Persistent","","","","","","","","","","","Fire","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WitchSummonInfernalFamiliar.webp"
"1788936811-103","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Minion","","","","Navira, the Last MirageMinion, Persistent, Command, ColdSummon Navira, an invulnerable Water Djinn Minion to do your bidding. Navira will only act when you Command her to do so, bestowing restorative blessings upon you and your Allies with her Spells.","Navira, the Last Mirage","","Minion, Persistent, Command, Cold","","","","","Command","","","","","","","","","","","","","","","","Persistent","Allies","Cold","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressSummonWaterDjinn.webp"
"1788936811-104","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Command","","","","Navira's FracturingCommand, AoE, Cold","Navira's Fracturing","","Command, AoE, Cold","","","","","","","","","","","","","","","","","","","","","","","Cold","","","","","","","","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Rolldodge.webp"
"1788936811-105","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Command","","","","Navira's WellCommand, Duration","Navira's Well","","Command, Duration","","","","","","","","","","","","","","","","","","","","","","","","","","Duration","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Rolldodge.webp"
